epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4257,1.48668,2.48763,1.12277,0.0054,0.98291,0.89552,0.53949,1.1904,3.01862,0.95839,0.00034,0.00034,0.00034
2,157.758,1.29817,1.37626,1.11236,0.00526,0.95726,0.06064,0.02987,1.19917,3.09312,1.06345,0.0006769,0.0006769,0.0006769
3,216.178,1.32606,1.29093,1.09793,0.00535,0.97436,0.20141,0.05829,1.30424,3.18566,1.14155,0.00099004,0.00099004,0.00099004
4,272.94,1.26552,1.16672,1.11719,1,0.2034,0.75276,0.43717,1.46461,2.69319,1.22758,0.00127942,0.00127942,0.00127942
5,329.646,1.25289,1.14216,1.10114,0.98967,0.81916,0.91054,0.56665,1.32848,1.7061,1.16834,0.00154504,0.00154504,0.00154504
6,386.507,1.28326,1.05779,1.10654,0.97213,0.89444,0.94713,0.57992,1.32739,1.42528,1.19611,0.00167,0.00167,0.00167
7,443.474,1.21578,0.97266,1.08769,0.96625,0.92308,0.95973,0.61473,1.26995,1.01216,1.17028,0.001604,0.001604,0.001604
8,500.55,1.2327,0.94013,1.07102,0.97307,0.92659,0.97107,0.57108,1.28815,0.98687,1.15764,0.001538,0.001538,0.001538
9,557.507,1.23097,0.90754,1.09118,0.95266,0.93162,0.98143,0.58213,1.27038,0.9053,1.17038,0.001472,0.001472,0.001472
10,636.503,1.21671,0.84948,1.0786,0.93205,0.97436,0.98455,0.59449,1.29479,0.87037,1.15172,0.001406,0.001406,0.001406
11,740.851,1.19412,0.82537,1.07246,0.93986,0.93499,0.98052,0.62708,1.20437,0.77985,1.1212,0.00134,0.00134,0.00134
12,842.767,1.165,0.7843,1.05954,0.95615,0.93179,0.97717,0.6318,1.1901,0.71453,1.12728,0.001274,0.001274,0.001274
13,953.991,1.16571,0.73534,1.05913,0.97705,0.92308,0.95905,0.6197,1.21065,0.71369,1.12336,0.001208,0.001208,0.001208
14,1054.13,1.12575,0.70112,1.03814,0.98226,0.94647,0.97299,0.64326,1.1949,0.68157,1.09995,0.001142,0.001142,0.001142
15,1163.15,1.16113,0.71073,1.05416,0.96497,0.94184,0.97078,0.63144,1.17101,0.69656,1.09851,0.001076,0.001076,0.001076
16,1278.16,1.12808,0.69426,1.03424,0.98213,0.93926,0.97687,0.6421,1.15542,0.68274,1.09498,0.00101,0.00101,0.00101
17,1392.47,1.12065,0.66524,1.02961,0.97361,0.94598,0.98413,0.6273,1.18447,0.764,1.1231,0.000944,0.000944,0.000944
18,1469.27,1.11212,0.65966,1.03616,0.98228,0.94756,0.97938,0.62442,1.17403,0.63527,1.09647,0.000878,0.000878,0.000878
19,1540.7,1.09602,0.63809,1.01854,0.97962,0.94872,0.96937,0.62207,1.15279,0.62963,1.09399,0.000812,0.000812,0.000812
20,1611.17,1.08177,0.60416,1.0189,0.98091,0.93162,0.96323,0.63638,1.16837,0.60524,1.0886,0.000746,0.000746,0.000746
21,1679.07,1.06073,0.69373,1.02818,0.96078,0.92308,0.94973,0.62454,1.18805,0.71281,1.09046,0.00068,0.00068,0.00068
22,1746.74,1.05127,0.6693,1.01798,0.96494,0.95726,0.97148,0.62738,1.17182,0.64471,1.09359,0.000614,0.000614,0.000614
23,1815.82,1.04445,0.64676,1.01001,0.96987,0.96581,0.9816,0.61472,1.1896,0.61415,1.11331,0.000548,0.000548,0.000548
24,1886.6,1.05502,0.64861,1.02555,0.95788,0.97197,0.98763,0.61521,1.21482,0.58033,1.11793,0.000482,0.000482,0.000482
25,1969.75,1.02156,0.60181,1.00832,0.9676,0.97436,0.99006,0.61292,1.18734,0.58959,1.10282,0.000416,0.000416,0.000416
26,2047.9,0.99239,0.59033,1.00447,0.95761,0.96541,0.99088,0.61512,1.18381,0.593,1.10786,0.00035,0.00035,0.00035
27,2120.65,0.99224,0.58137,0.99092,0.96306,0.95726,0.99,0.64415,1.16512,0.57525,1.09702,0.000284,0.000284,0.000284
28,2189.19,1.00788,0.56865,0.99998,0.97235,0.95726,0.98902,0.63531,1.17843,0.55893,1.10093,0.000218,0.000218,0.000218
29,2257.48,0.98035,0.56012,1.00052,0.9722,0.95726,0.98145,0.62427,1.16076,0.55427,1.09026,0.000152,0.000152,0.000152
30,2325.63,0.97077,0.54191,1.00174,0.97216,0.95726,0.98974,0.63563,1.12022,0.53835,1.07968,8.6e-05,8.6e-05,8.6e-05
